SNAP Income Pilot Translations 09132024(09092024) (1)
Translation Key,English,English (removed code),Spanish - from DTA,Spanish,Client or Staff-facing?,Added to Confluence?,Page/location,Error or info banner?,,,,,,,,,,,,,,,,,,
en.cbv.agreements.show.checkbox.default,Check this box to agree to let us access your payment information and share it with the %{agency_full_name}.,Check this box to agree to let us access your payment information and share it with the [agency].,Marque esta casilla para indicar que está de acuerdo en permitirnos acceder a su información de pago y compartirla con la [agencia].,Marque esta casilla para indicar que está de acuerdo en permitirnos acceder a su información de pago y compartirla con %{agency_full_name}.,Client,Yes,Agreement,,,,,,,,,,,,,,,,,,,
en.cbv.agreements.show.checkbox.nyc,Check this box to agree to let Nava access your payment information and share it with the %{agency_full_name}. We will not use the information for any other purpose nor redisclose it to any other party.,Check this box to agree to let us access your payment information and share it with the [agency]. We will not use the information for any other purpose nor redisclose it to any other party.,Marque esta casilla para indicar que está de acuerdo en permitirnos acceder a su información de pago y compartirla con la [agencia]. No usaremos la información para ningún otro fin ni la divulgaremos a terceros.,Marque esta casilla para indicar que está de acuerdo en permitirnos acceder a su información de pago y compartirla con %{agency_full_name}. No usaremos la información para ningún otro fin ni la divulgaremos a terceros.,Client,Yes,Agreement,,,,,,,,,,,,,,,,,,,
en.cbv.agreements.show.continue,Continue,,Continuar,Continuar,Client,Yes,Agreement,,,,,,,,,,,,,,,,,,,
en.cbv.agreements.show.header,Let's verify your income,,Verifiquemos su ingreso,Verifiquemos sus ingresos,Client,Yes,Agreement,,,,,,,,,,,,,,,,,,,
en.cbv.agreements.show.step1,Find your most recent employer or online payroll provider.,,Busque su más reciente empleador o proveedor de nómina en línea.,Busque su más reciente empleador o proveedor de nómina en línea.,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.agreements.show.step1_description,"A payroll provider is a system that some employers or companies use to handle payroll, pay processing, and distribute paychecks and direct deposit. Examples of popular payroll providers are ADP, Paychex, Gusto, etc.",,"Un proveedor de nómina es un sistema que usan algunos empleadores o empresas para gestionar la nómina, procesar el pago y distribuir los cheques de pago y los depósitos directos. Algunos ejemplos de proveedores de pago populares son ADP, Paychex, Gusto, etc.","Un proveedor de nómina es un sistema que usan algunos empleadores o empresas para gestionar la nómina, procesar el pago y distribuir los cheques de pago y los depósitos directos. Algunos ejemplos de proveedores de pago populares son ADP, Paychex, Gusto, etc.",Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.agreements.show.step2,Sign into your employer or payroll provider account.,,Ingrese a su cuenta del empleador o proveedor de nómina.,Ingrese a su cuenta de empleador o proveedor de nómina.,Client,Yes,Agreement,,,,,,,,,,,,,,,,,,,
en.cbv.agreements.show.step2_description,"Use the login credentials you have for viewing your online pay stub. If you work for an app, like Uber, this would be the same login when you sign into the Uber app. We will not share or keep your login information.",,"Use las credenciales de acceso que tiene para visualizar su talón de pago en línea. Si trabaja para una aplicación, tal como Uber, debería ser el mismo inicio de sesión que al ingresar a la aplicación Uber. No almacenaremos ni compartiremos su información de acceso.","Use las credenciales de acceso que tiene para visualizar su talón de pago en línea. Si trabaja para una aplicación, tal como Uber, debería ser el mismo inicio de sesión que al ingresar a la aplicación Uber. No almacenaremos ni compartiremos su información de acceso.",Client,Yes,Agreement,,,,,,,,,,,,,,,,,,,
en.cbv.agreements.show.step3,Review your payment information.,,Revise su información de pago.,Revise su información de pago.,Client,Yes,Agreement,,,,,,,,,,,,,,,,,,,
en.cbv.agreements.show.step3_description,"Payment information includes pay date, pay amount, and hours worked. Repeat steps 1 to 3 if you have other employers to add.",,"La información de pago incluye la fecha de pago, el monto de pago y las horas trabajadas. Repita los pasos del 1 al 3 si tiene otros empleados que agregar.","La información de pago incluye la fecha de pago, el monto de pago y las horas trabajadas. Repita los pasos del 1 al 3 si tiene otros empleadores que agregar.",Client,Yes,Agreement,,,,,,,,,,,,,,,,,,,
en.cbv.agreements.show.step4,Submit your payment information.,,Envíe su información de pago.,Envíe su información de pago.,Client,Yes,Agreement,,,,,,,,,,,,,,,,,,,
en.cbv.agreements.show.step4_description,We’ll automatically send it to %{agency_acronym}.,We’ll automatically send it to [agency].,Nosotros la enviaremos automáticamente a la [agencia].,Nosotros la enviaremos automáticamente a %{agency_acronym}.,Client,Yes,Agreement,,,,,,,,,,,,,,,,,,,
en.cbv.agreements.show.steps_intro,"To verify your income, you'll need to complete these four simple steps:",,"Para verificar su ingreso, tendrá que completar estos sencillos cuatro pasos:","Para verificar sus ingresos, tendrá que completar estos sencillos cuatro pasos:",Client,Yes,Agreement,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.can_not_find_employer,I can’t find my company or payroll provider,,No logro encontrar mi empresa ni mi proveedor de nómina,No logro encontrar mi empresa ni mi proveedor de nómina,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.employer_not_listed,Employer not listed?,,¿El empleador no está listado?,¿Su empleador no está en la lista?,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.exit_button_text,Exit and go to %{agency_short_name},Exit and go to [agency].,Salga y vaya a la [agencia].,Salga y vaya a %{agency_short_name},Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.fetching_payroll,We are fetching your employer's payment information.,,Estamos buscando la información de pago de su empleador.,Estamos buscando la información de pago de su empleador.,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.fetching_payroll_description,This may take a few minutes. Please do not close this window.,,"Esto puede tomar algunos minutos. Por favor, no cierre esta ventana.","Esto puede tomar algunos minutos. Por favor, no cierre esta ventana.",Client,Yes,Synchronizations,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.header,Find your current or most recent employer or payroll provider,,Busque su más reciente empleador o proveedor de nómina,Busque su más reciente empleador o proveedor de nómina,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.no_results_steps1,Check if your employer uses another business name or search for their payroll provider.,,Verifique si su empleador usa otro nombre empresarial o busque a su proveedor de nómina.,Verifique si su empleador usa otro nombre empresarial o busque a su proveedor de nómina.,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.no_results_steps2,"Make sure you have spelled names correctly, then search again.",,"Asegúrese de haber escrito correctamente los nombres, luego busque de nuevo.","Asegúrese de haber escrito correctamente los nombres, y busque de nuevo.",Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.no_results_steps_title,Try these steps first:,,Intente estos pasos primero:,Intente estos pasos primero:,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.no_results_title,We couldn’t find your employer or payroll provider.,,No pudimos encontrar a su empleador ni a su proveedor de nómina.,No pudimos encontrar su empleador ni su proveedor de nómina.,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.results,Results,,Resultados,Resultados,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.review_button_text,Review my income report,,Revisar mi informe de ingresos,Revisar mi informe de ingresos,Client,Yes,Summary,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.search,Search,,Búsqueda,Buscar,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.search_for_employer,Search for your employer or payroll provider. This can be a former employer or a current employer. We will share your income information with %{agency_acronym}.,Search for your employer or payroll provider. This can be a former employer or a current employer. We will share your income information with [agency].,Busque a su empleador o a su proveedor de nómina. Puede ser un antiguo empleador o un empleador actual. Compartiremos su información de ingresos con [agencia].,Busque a su empleador o a su proveedor de nómina. Puede ser un antiguo empleador o un empleador actual. Compartiremos su información de ingresos con %{agency_acronym}.,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.select,Select,,Seleccione,Seleccione,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.select_button_aria_label,Open an authentication modal for the employer or payroll provider to import your payment history.,,Abra una modalidad de autenticación para que el empleador o proveedor de nómina importe su historial de pago.,Abra una ventana de autenticación para que el empleador o proveedor de nómina importe su historial de pago.,Client,,,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.to_access,"To access your payment information, search for any of the following:",,"Para acceder a su información de pago, busque alguna de las siguientes opciones:","Para acceder a su información de pago, busque alguna de las siguientes opciones:",Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.to_access_li_1_html,Your <strong>employer name</strong>,Your employer name,El nombre de su empleador,El <strong>nombre de su empleador</strong>,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.to_access_li_2_html,The <strong>payroll provider</strong> you get paid from,The payroll provider you get paid from,El proveedor de nómina del que recibe el pago,El <strong>proveedor de nómina</strong> del que recibe el pago,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.to_access_li_3_html,"The <strong>app</strong> you work for, like Uber, DoorDash, etc","The app you work for, like Uber, DoorDash, etc","La aplicación con la que trabaja, tal como Uber, DoorDash, etc.","La <strong>aplicación</strong> con la que trabaja, tal como Uber, DoorDash, etc.",Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.to_continue,If you still don’t see your employer or payroll provider listed:,,Si aún no ve a enumerado a su empleador ni a su proveedor de nómina:,Si aún no ve enumerado a su empleador ni a su proveedor de nómina:,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.to_continue_li_1,You’ll need to submit that income information separately.,,Tendrá que enviar la información de ingreso por separado.,Tendrá que enviar esa información de ingresos por separado.,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.to_continue_li_1_html.ma,"<a href=""https://www.mass.gov/guides/how-to-contact-dta"">Go to DTA's website</a> to learn about other ways to report your income.",Go to DTA's website to learn about other ways to report your income.,Vaya al sitio web para informarse de otras formas de notificar sus ingresos.,"<a href=""https://www.mass.gov/guides/how-to-contact-dta"">Vaya al sitio web del DTA</a> para informarse de otras formas de notificar sus ingresos.",Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.to_continue_li_1_html.nyc,"<a href=""https://www.nyc.gov/site/hra/help/snap-application-frequently-asked-questions.page"">Go to HRA's website</a> to learn about other ways to report your income.",Go to HRA's website to learn about other ways to report your income.,Vaya al sitio web de la HRA para informarse de otras formas de notificar sus ingresos.,"<a href=""https://www.nyc.gov/site/hra/help/snap-application-frequently-asked-questions.page"">Vaya al sitio web de la HRA</a> para informarse de otras formas de notificar sus ingresos.",Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.to_continue_li_1_html.sandbox,"<a href=""https://example.com/contact"">Go to CBV's website</a> to learn about other ways to report your income.",Go to CBV's website to learn about other ways to report your income.,Vaya al sitio web del CBV para informarse de otras formas de notificar sus ingresos.,"<a href=""https://example.com/contact"">Vaya al sitio web del CBV</a> para informarse de otras formas de notificar sus ingresos.",Client,No,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.to_continue_li_2,"If you have other jobs to add, search for them.",,"Si tiene otros trabajos que añadir, búsquelos.","Si tiene otros trabajos que añadir, búsquelos.",Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.to_continue_li_3,"If you have no other jobs to add here, you can exit this site.",,"Si no tiene otros trabajos que añadir aquí, puede salir de este sitio.","Si no tiene otros trabajos que añadir aquí, puede salir de este sitio.",Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.to_continue_li_3_continue,"If you have no other jobs to add here, continue to review your income report.",,"Si no tiene otros trabajos que añadir aquí, pase a revisar su informe de ingresos.","Si no tiene otros trabajos que añadir aquí, continúe a revisar su informe de ingresos.",Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.what_is_html,"<strong>What is a payroll provider?</strong> A payroll provider is a system that some employers or companies use to handle payroll, pay processing, and distribute paychecks and direct deposit. Examples of popular payroll providers are ADP, Paychex, Gusto, etc.","What is a payroll provider? A payroll provider is a system that some employers or companies use to handle payroll, pay processing, and distribute paychecks and direct deposit. Examples of popular payroll providers are ADP, Paychex, Gusto, etc.","¿Qué es un proveedor de nómina? Un proveedor de nómina es un sistema que usan algunos empleadores o empresas para gestionar la nómina, procesar el pago y distribuir los cheques de pago y los depósitos directos. Algunos ejemplos de proveedores de pago populares son ADP, Paychex, Gusto, etc.","<strong>¿Qué es un proveedor de nómina?</strong> Un proveedor de nómina es un sistema que usan algunos empleadores o empresas para gestionar la nómina, procesar el pago y distribuir los cheques de pago y los depósitos directos. Algunos ejemplos de proveedores de pago populares son ADP, Paychex, Gusto, etc.",Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.employer_searches.show.you_ll_go,You’ll go to their login portal and sign in to see your payment history.,,Usted irá a su portal de inicio de sesión e ingresará para ver su historial de pago.,Usted irá a su portal de inicio de sesión e ingresará para ver su historial de pago.,Client,Yes,Employer search,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.cant_use_1,You haven’t earned income from a job in the past 90 days,,No ha devengado ingresos de un trabajo en los últimos 90 días,No ha recibido ingresos de un trabajo en los últimos 90 días,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.cant_use_2,"You have a job that pays via PayPal, Venmo, Cash App, etc.",,"Usted tiene un trabajo que paga por PayPal, Venmo, Cash App, etc.","Usted tiene un trabajo que paga por PayPal, Venmo, Cash App, etc.",Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.cant_use_3,You have a job that pays in cash,,Usted tiene un trabajo que paga en efectivo,Usted tiene un trabajo que paga en efectivo,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.cant_use_4,You have a job that pays you with a paper check and you cannot view your paycheck online,,Usted tiene un trabajo que le paga con un cheque impreso y no puede ver su cheque de pago en línea,Usted tiene un trabajo que le paga con un cheque impreso y no puede ver su cheque de pago en línea,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.cant_use_5,You have a job that issues a 1099,,Usted tiene un trabajo que emite un 1099,Usted tiene un trabajo que emite un 1099,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.cant_use_if,You won't be able to verify your income with this tool if:,,No podrá verificar sus ingresos con esta herramienta si:,No podrá verificar sus ingresos con esta herramienta si:,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.do_app_based_work,"Do app-based gig work (like Uber, Lyft, DoorDash)",,"Realiza un trabajo que se basa en aplicaciones (como Uber, Lyft, DoorDash)","Realiza un trabajo que se basa en aplicaciones (como Uber, Lyft, DoorDash)",Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.get_started,Get Started,,Comience,Comience,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.has_income_90_days,You can use this tool if you have earned income in the last 90 days and:,,Puede usar esta herramienta si ha devengado ingresos en los últimos 90 días y:,Puede usar esta herramienta si ha recibido ingresos en los últimos 90 días y:,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.has_online_payroll_provider,"Can view your paychecks through your company or company's online payroll provider. Most people who receive pay stubs or W-2 tax forms have an online payroll provider. If you’re unsure, ask your employer.",,"Puede ver sus cheques de pago a través de su empresa o del proveedor de nómina en línea de su empresa. La mayoría de las personas que reciben talones de pago o formularios de impuesto W-2 tienen un proveedor de nómina en línea. Si no está seguro, pregunte a su empleador.","Puede ver sus cheques de pago a través de su empresa o del proveedor de nómina en línea de su empresa. La mayoría de las personas que reciben talones de pago o formularios de impuesto W-2 tienen un proveedor de nómina en línea. Si no está seguro, pregunte a su empleador.",Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.header.default,%{agency_acronym} is piloting a new way to quickly verify your income,[agency] is piloting a new way to quickly verify your income,la [agencia] está poniendo a prueba una nueva forma de verificar rápidamente sus ingresos,%{agency_acronym} está lanzando una nueva forma de verificar rápidamente sus ingresos,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.header.ma,Get %{agency_acronym} your income right away,,Obtenga %{agency_acronym} sus ingresos de inmediato,Proporcione al %{agency_acronym} sus ingresos de inmediato,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.security_message_html,<strong>Your information is secure.</strong> We won't share or keep your log in information. You will be able to preview and approve everything that is shared with %{agency_acronym}.,Your information is secure. We won't share or keep your log in information. You will be able to preview and approve everything that is shared with [agency].,Su información está segura. No compartiremos ni almacenaremos su información de acceso. Podrá visualizar previamente y aprobar todo lo que se comparta con [agencia].,<strong>Su información está segura.</strong>  No compartiremos ni almacenaremos su información de acceso. Podrá revisar y aprobar todo lo que se comparta con %{agency_acronym}.,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.stopped_working,Have stopped working or lost a job (but earned income in the past 90 days).,,Dejó de trabajar o perdió un trabajo (pero devengó ingresos en los últimos 90 días).,Dejó de trabajar o perdió un trabajo (pero generó ingresos en los últimos 90 días).,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.subheader,We’ll send the payment records from your employer(s) to %{agency_acronym}. This will help you prove your income and can help %{agency_acronym} get to a decision faster.,We’ll send the payment records from your employer(s) to [agency]. This will help you prove your income and can help [agency] get to a decision faster.,Enviaremos los registros de pago de su(s) empleador(es) a la [agencia]. Esto lo ayudará a demostrar sus ingresos y puede ayudar a la [agencia] a tomar una decisión con mayor rapidez.,Enviaremos los registros de pago de su(s) empleador(es) a %{agency_acronym}. Esto le ayudará a demostrar sus ingresos y puede ayudar a %{agency_acronym} a tomar una decisión con mayor rapidez.,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.subheader_1,Who can use this tool,,Quién puede usar esta herramienta,Quién puede usar esta herramienta,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.subheader_2,Who can't use this tool,,Quién no puede usar esta herramienta,Quién no puede usar esta herramienta,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.subheader_3,What you need,,Qué necesita,Qué necesita,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.you_can_get_started,You can get started right away with this information:,,Puede iniciar de inmediato con esta información:,Puede iniciar de inmediato con esta información:,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.your_employers_name,Your employer's name or the name of their payroll provider,,El nombre de su empleador o del proveedor de nómina del mismo,El nombre de su empleador o del proveedor de nómina del mismo,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.entries.show.your_login_credentials,Your login information for viewing your paystubs online,,Su información de acceso para ver sus talones de pago en línea,Su información de acceso para ver sus talones de pago en línea,Client,Yes,Entry,,,,,,,,,,,,,,,,,,,
en.cbv.error_invalid_token,"The invitation link used is not valid. Double check the link and try again. If you continue experiencing issues, contact your caseworker.",,"El enlace de invitación no es válido. Vuelva a comprobar el enlace e inténtalo de nuevo. Si sigue teniendo problemas, póngase en contacto con su trabajador social.","El enlace de invitación no es válido. Vuelva a comprobar el enlace e inténtelo de nuevo. Si sigue teniendo problemas, póngase en contacto con su trabajador social.",Client,Need to add,?,Yes,,,,,,,,,,,,,,,,,,
en.cbv.error_missing_token_html,"<strong>Your session has timed out due to inactivity.</strong> To continue where you left off, please click the link you received from your SNAP agency in your email. If you encounter any issues, contact your SNAP agency for assistance.","Your session has timed out due to inactivity. To continue where you left off, please click the link you received from your SNAP agency in your email. If you encounter any issues, contact your SNAP agency for assistance.","Su sesión a finalizado debido a la inactividad. Para continuar donde lo dejó, haga clic en el enlace que recibió de su agencia del SNAP por correo electrónico. Si se le presenta algún problema, póngase en contacto con su agencia del SNAP para pedir ayuda.","<strong>Su sesión a finalizado debido a inactividad.</strong> Para continuar donde la dejó, haga clic en el enlace que recibió de su agencia del SNAP por correo electrónico. Si encuentra algún problema, póngase en contacto con su agencia del SNAP para pedir ayuda.",Client,Yes,Welcome,Yes,,,,,,,,,,,,,,,,,,
en.cbv.error_no_access,We weren't able to load payroll data for this account. Please click the link you received from your SNAP agency to try again.,,No logramos cargar los datos de nómina para esta cuenta. Haga clic en el enlace que recibió de su agencia del SNAP para intentarlo de nuevo.,No logramos cargar los datos de nómina para esta cuenta. Haga clic en el enlace que recibió de su agencia del SNAP para intentarlo de nuevo.,Client,Need to add,?,Yes,,,,,,,,,,,,,,,,,,
en.cbv.expired_invitations.show.body_1,"You've either successfully completed your verification process, or are trying to access this invitation after it has expired.",,"Usted ya ha completado con éxito su proceso de verificación, o está intentando acceder a esta invitación después de que ha expirado.","Usted ya ha completado con éxito su proceso de verificación, o está intentando acceder a esta invitación después de que ha expirado.",Client,Yes,Expired,,,,,,,,,,,,,,,,,,,
en.cbv.expired_invitations.show.body_2,"If you still need to verify your income, please reach out to your agency to get a new invitation.",,"Si aún debe verificar sus ingresos, comuníquese con su agencia y obtenga una nueva invitación.","Si aún debe verificar sus ingresos, comuníquese con su agencia y obtenga una nueva invitación.",Client,Yes,Expired,,,,,,,,,,,,,,,,,,,
en.cbv.expired_invitations.show.cta_button_html.ma,"<a href=""https://www.mass.gov/guides/how-to-contact-dta"" class=""usa-button"">Visit DTA's website</a>",Visit DTA website,Visite el sitio web del DTA,"<a href=""https://www.mass.gov/guides/how-to-contact-dta"" class=""usa-button"">Visite el sitio web del DTA</a>",Client,Yes,Expired,,,,,,,,,,,,,,,,,,,
en.cbv.expired_invitations.show.cta_button_html.nyc,"<a href=""https://www.nyc.gov/site/hra/help/snap-application-frequently-asked-questions.page"" class=""usa-button"">Visit HRA's website</a>",Visit HRA website,Visite el sitio web de la HRA,"<a href=""https://www.nyc.gov/site/hra/help/snap-application-frequently-asked-questions.page"" class=""usa-button"">Visite el sitio web de la HRA</a>",Client,Yes,Expired,,,,,,,,,,,,,,,,,,,
en.cbv.expired_invitations.show.cta_button_html.sandbox,"<a href=""https://www.mass.gov/guides/how-to-contact-dta"" class=""usa-button"">Learn more at CBV Test Agency</a>",Learn more at CBV Test Agency,Obtenga más información en la Agencia de pruebas CBV,"<a href=""https://www.mass.gov/guides/how-to-contact-dta"" class=""usa-button"">Obtenga más información en la Agencia de pruebas CBV</a>",Client,Yes,Expired,,,,,,,,,,,,,,,,,,,
en.cbv.expired_invitations.show.title,Your invitation to verify income has expired,,Su invitación para verificar ingresos ha expirado.,Su invitación para verificar ingresos ha expirado,Client,Yes,Expired,,,,,,,,,,,,,,,,,,,
en.cbv.missing_results.show.back_button,Go back to employer search,,Regrese a la búsqueda del empleador,Regrese a la búsqueda del empleador,Client,,,,,,,,,,,,,,,,,,,,,
en.cbv.missing_results.show.continue_button,Continue to review my report,,Continúe a «revisar mi informe»,Continúe a «revisar mi informe»,Client,Yes,Missing results,,,,,,,,,,,,,,,,,,,
en.cbv.missing_results.show.continue_to_review,Continue to review the income information you were able to find before you submit it to %{agency_acronym}.,Continue to review the income information you were able to find before you submit it to [agency].,Continúe a revisar la información de ingresos que logró encontrar antes de enviarla a la [agencia].,Continúe a revisar la información de ingresos que logró encontrar antes de enviarla a %{agency_acronym}.,Client,Yes,Missing results,,,,,,,,,,,,,,,,,,,
en.cbv.missing_results.show.dta_options_1_html,"Use <a href=""https://www.mass.gov/info-details/help-using-dta-connect"" target=""_blank"" rel=""noopener noreferer"">DTA Connect</a> to upload and submit your income documents.",Use DTA Connect to upload and submit your income documents.,Use DTA Connect para cargar y enviar sus documentos de ingresos.,"Use <a href=""https://www.mass.gov/info-details/help-using-dta-connect"" target=""_blank"" rel=""noopener noreferer"">DTA Connect</a> para cargar y enviar sus documentos de ingresos.",Client,Yes,Missing results,,,,,,,,,,,,,,,,,,,
en.cbv.missing_results.show.dta_options_2_html,"<a href=""https://www.mass.gov/guides/how-to-contact-dta#-mail-or-fax-"" target=""_blank"" rel=""noopener noreferer"">Fax</a> your documents to DTA along with a cover sheet.",Fax your documents to DTA along with a cover sheet.,Envíe sus documentos al DTA por fax junto con una carátula.,"Envíe sus documentos al DTA <a href=""https://www.mass.gov/guides/how-to-contact-dta#-mail-or-fax-"" target=""_blank"" rel=""noopener noreferer"">por fax</a> junto con una carátula.",Client,Yes,Missing results,,,,,,,,,,,,,,,,,,,
en.cbv.missing_results.show.dta_options_3_html,"<a href=""https://www.mass.gov/guides/how-to-contact-dta#-mail-or-fax-"" target=""_blank"" rel=""noopener noreferer"">Mail</a> your documents to DTA along with a cover sheet.",Mail your documents to DTA along with a cover sheet.,Envíe sus documentos al DTA por correo postal junto con una carátula.,"Envíe sus documentos al DTA <a href=""https://www.mass.gov/guides/how-to-contact-dta#-mail-or-fax-"" target=""_blank"" rel=""noopener noreferer"">por correo postal</a> junto con una carátula.",Client,Yes,Missing results,,,,,,,,,,,,,,,,,,,
en.cbv.missing_results.show.dta_options_4_html,"Drop your documents off at a <a href=""https://www.mass.gov/guides/how-to-contact-dta#-mail-or-fax-"" target=""_blank"" rel=""noopener noreferer"">local DTA office</a>.",Drop your documents off at a local DTA office.,Entregue sus documentos en una oficina local del DTA.,"Entregue sus documentos en <a href=""https://www.mass.gov/guides/how-to-contact-dta#-mail-or-fax-"" target=""_blank"" rel=""noopener noreferer"">una oficina local</a> del DTA.",Client,Yes,Missing results,,,,,,,,,,,,,,,,,,,
en.cbv.missing_results.show.dta_options_5_html,"Work with a <a href=""https://www.mass.gov/info-details/snap-outreach-partners#snap-outreach-partners-"" target=""_blank"" rel=""noopener noreferer"">SNAP Outreach Partner</a> to submit your documents.",Work with a SNAP Outreach Partner to submit your documents.,Trabaje con un aliado de SNAP Outreach para presentar sus documentos.,"Trabaje con <a href=""https://www.mass.gov/info-details/snap-outreach-partners#snap-outreach-partners-"" target=""_blank"" rel=""noopener noreferer"">un aliado de SNAP Outreach</a> para presentar sus documentos.",Client,Yes,Missing results,,,,,,,,,,,,,,,,,,,
en.cbv.missing_results.show.dta_options_header,You can submit your income information using one of the following methods:,,Puede presentar su información de ingresos usando uno de los siguientes métodos:,Puede presentar su información de ingresos usando uno de los siguientes métodos:,Client,Yes,Missing results,,,,,,,,,,,,,,,,,,,
en.cbv.missing_results.show.exit_button_html.ma,"<a href=""https://www.mass.gov/guides/how-to-contact-dta"" class=""usa-button"">Exit and go to DTA</a>",Exit and go to DTA,Salga y vaya al DTA,"<a href=""https://www.mass.gov/guides/how-to-contact-dta"" class=""usa-button"">Salga y vaya a DTA</a>",Client,Yes,Missing results,,,,,,,,,,,,,,,,,,,
en.cbv.missing_results.show.exit_button_html.nyc,"<a href=""https://www.nyc.gov/site/hra/help/snap-application-frequently-asked-questions.page"" class=""usa-button"">Exit and go to HRA</a>",Exit and go to HRA,Salga y vaya a la HRA,"<a href=""https://www.nyc.gov/site/hra/help/snap-application-frequently-asked-questions.page"" class=""usa-button"">Salga y vaya a HRA</a>",Client,Yes,Missing results,,,,,,,,,,,,,,,,,,,
en.cbv.missing_results.show.exit_button_html.sandbox,"<a href=""https://www.mass.gov/guides/how-to-contact-dta"" class=""usa-button"">Exit and go to CBV Test Agency</a>",Exit and go to CBV Test Agency,Salga y vaya a la Agencia de prueba CBV,"<a href=""https://www.mass.gov/guides/how-to-contact-dta"" class=""usa-button"">Salga y vaya a la Agencia de prueba CBV</a>",Client,No,Missing results,,,,,,,,,,,,,,,,,,,
